用户ID,评论内容,购买时间,点赞数,回复数,评分,评价时间,产品型号

19208923582,618京东大促活动如火如荼的进行中，不买点什么，总觉得会无比吃亏。自己买了，还要推荐朋友买，哈哈哈，这就是朋友的战利品，非常奈斯,2023-06-07 21:19:25,0,0,5,2023-06-10 15:26:55,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19166052595,笔记本包装很结实，送货速度很快，笔记本运行速度非常快，屏幕也很超薄，键盘用起来也很舒适，连屏幕的颜色也非常的鲜艳，很满意的一次购物,2023-05-29 13:37:24,0,0,5,2023-05-31 15:07:07,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18904018292,电脑不错，外观设计很漂亮，质量很好，性能很好，值得购买的产品，做工非常精细，比想象中的好，推荐大家尝试 --,2023-03-04 22:54:29,0,0,5,2023-03-16 01:02:27,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18907356841,?赶上做活动的时候买的，这个价格一分钱一分货??，从外观看很美?，材质做工都不错?，感觉买值了，还有物流超级快，点赞！,2023-03-15 00:35:58,0,0,5,2023-03-17 08:53:46,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18904108406,"性能优秀的笔记本电脑，非常适合工作用！
运行速度：运行速度飞快！
屏幕效果：显示清晰。
散热性能：散热还不错，偶尔风扇声音大一点
外形外观：适合理工男吧！
轻薄程度：看着真不够，作为工作站来说！",2023-03-10 22:22:07,0,0,5,2023-03-16 06:27:17,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18906382203,"金属外壳挺有质感，屏幕效果不错，音响也不错，总体感觉还不错。
散热性能：娱乐使用两个小时没明显发热，没听过风扇声
外形外观：金属外壳，挺有质感，符合个人审美
轻薄程度：设计本里面算轻薄的了
屏幕效果：看着舒服
运行速度：第一次开机一分多钟，后面开机比较快。",2023-03-15 20:59:18,0,0,5,2023-03-16 19:53:05,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18852169563,"运行速度：不错，流畅
外形外观：金属质感，灰色很喜欢，不足感觉总一点。
屏幕效果：还是喜欢1920x1080 2.5k 那些老是感觉不对
散热性能：很不错
轻薄程度：很轻薄了，战胜了这个尺寸所有机型
其他特色：有指纹，人脸识别
散热能力：挺不错
运行速度：很快",2023-03-03 20:19:46,1,1,5,2023-03-04 17:14:00,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18876691126,"电脑确实不错，比想象中的好，朋友介绍买的，运行速度也很快，专门用来办公，看着很精致，
运行速度：快
屏幕效果：比较好
散热性能：不知道散热怎么样，用了一天效果还是不错的
外形外观：简单大方
轻薄程度：也便携",2023-03-03 20:05:15,0,0,5,2023-03-09 15:31:33,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18890893130,"运行速度：刚开始新机拆包会慢一些，后期装好了运行速度就完美了
屏幕效果：显卡不错，屏幕1080的60hz，够用了，肯定不能跟游戏本的高刷2k4k的比
散热性能：刚起动时稍微大些，后期散热很好，风扇转动的时候噪声比较小
薄程度：本来就个设计本，轻薄本本身的确也不成，这个本本在这个级别的全是轻便型了，宝贝非常不错，运行无卡顿，配置方面完全满足我的要求",2023-03-10 00:02:25,0,0,5,2023-03-12 22:56:21,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18751247616,目前来看还不错，外观精致，运行顺畅，风扇声和散热效果还是可以接受的，满足设计需求（PS、CDR、AI、ID、3DMAX、FX）都可以顺畅运行，比较满意。,2023-02-02 14:28:50,0,0,5,2023-02-04 21:41:24,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
