用户ID,评论内容,购买时间,点赞数,回复数,评分,评价时间,产品型号

18637759613,暂无评价，用了再来评价！,2022-12-25 19:29:42,0,2,3,2023-01-01 22:36:49,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18737767032,物流满分?，包装快递满分?，配送员态度满分?，购物让人开心，吃土使我快乐~?????????,2023-01-13 03:35:19,1,1,3,2023-01-31 21:58:11,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18897736108,运行怪怪的，有时温度高，有时又很正常,2023-01-15 21:51:38,1,1,3,2023-03-14 14:55:20,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18793566006,很厚，还行吧，主要看自己的需求，屏幕非常一般,2023-02-13 00:03:55,0,1,3,2023-02-16 23:27:46,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18317774619,看了好久的电脑，终于入手了。屏幕比较清晰，期待后续的使用感受。,2022-11-01 10:40:42,0,2,3,2022-11-02 13:48:49,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19140172264,买来SolidWorks画图的 比游戏本好点但没有到达理想效果 凑合用吧,2023-05-08 15:28:48,0,1,3,2023-05-23 21:56:07,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19013152214,刚开机那会使用还可以，用几次后总是提示更新，然后开机速度就慢下来了。,2023-03-22 16:40:05,0,1,3,2023-04-11 17:33:46,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18306372150,字数太多了，装不下，评价请看图片,2022-10-02 19:32:58,47,12,3,2022-10-31 11:21:03,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
17583769593,"电脑已到手，刚激活就出了问题。wifi显示不出来，系统出了问题。忙活了大半天找了惠普售后才解决，后面使用后再追评！
外观和重量挺合适，散热一般，性价比高。",2022-05-26 10:48:41,2,2,3,2022-06-04 21:59:55,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19236314662,其他都还好，就是这个玩意屏幕上有条线?，不知道是不是都有的，还是我运气背，刚好让我碰上了，其他效果嘛还没用，应该来说还行,2023-06-15 21:40:34,1,1,3,2023-06-17 12:26:42,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18097786115,"实际使用体验：电脑风扇很响，没开几个软件就很响，不知道是不是正常现象。
电脑包装体验：商品收到了，包装得很好，物流非常快。
客服体验：客服态度挺好的，有问题也会解答。
但总体就感觉一般，价格也比较贵，就是风扇太响了",2022-09-19 23:02:59,4,2,3,2022-09-21 22:41:58,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18558412076,"用着很合适，唯**点就是这方向键和没有狼标的标签贴
屏幕效果：一般
运行速度：快
散热能力：好
其他特色：性能模式嚎的厉害
外形外观：好看",2022-12-05 00:00:12,2,2,3,2022-12-17 20:41:51,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
