用户ID,评论内容,购买时间,点赞数,回复数,评分,评价时间,产品型号

19253174137,纯电脑小白，也不会看性能啥的。。什么都不干，整理点文档就已经热手了。。试着安装个pr和aegisub电脑就很烫了，用的时候更烫。。软件用起来还会卡，体验跟用手里的旧电脑也没差多少，还比旧电脑多了个烫手。。准备退了。。电脑那么多人夸，可能是我不会用了,2023-06-14 16:58:58,0,0,2,2023-06-20 16:01:30,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19249697880,漏光很严重，不知道要不要留下，先给个好评,2023-06-18 19:19:16,0,2,1,2023-06-19 20:48:29,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19246489215,开始还以为送电脑包和鼠标，收到就一个电脑?充电器，具体电脑性能等用了在评论,2023-06-18 08:20:25,0,1,1,2023-06-19 10:43:22,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19246259745,什么都没有，本来以为有电脑包什么的，还618有活动。,2023-06-17 18:20:53,0,1,1,2023-06-19 10:03:27,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19245410458,已经退了，6999，买个游戏本吧，这个真不行。,2023-06-12 10:25:19,0,1,3,2023-06-19 02:09:18,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19244795574,自己看吧家人们，今天刚到的货，上午首次开机很慢当时就觉得不太行，然后网络连接很慢，东西刷新很慢，想着忍忍吧，然后关机。晚上回来，登录也进不去，网络连接了因特网断开，我们家网络很好两个网络，还有5g的，然后当时就登录也登不上了，客服让我重装系统，我试了，现在是登不上去了，更慢了，然后客服说这是正常的因为微软在国外不稳定，让我选别的时间登录，怎么回事吧我买个电脑还得看着时间登录，我服了真的,2023-06-17 11:55:18,0,2,1,2023-06-18 22:20:30,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19242798281,此用户未填写评价内容,2023-06-17 21:47:06,0,0,5,2023-06-18 16:51:38,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19240602026,性能不是很理想，说好的可以用使用西门子，CAD等大型软件，实际使用起来非常卡。散热也很差，就开机处理文档，烫的厉害，我加了散热支架才稍微好些，风扇也不支持调节。真怕把处理器少了，电脑做工有些粗糙，缝隙和接口处不均匀，可以看到缝隙很大。说的赠品，现在却说需要，登记后，也不确定什么时候会发。还不一定保证会有。这个就搞笑了，不愿意送就直说。,2023-06-12 19:13:44,0,1,3,2023-06-18 10:35:26,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19240332303,此用户未填写评价内容,2023-06-16 22:39:26,0,0,5,2023-06-18 09:29:23,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
