用户ID,评论内容,购买时间,点赞数,回复数,评分,评价时间,产品型号

19233283565,"已经收到两天了，之前一直犹豫要不要开箱，因为很多人都说锐龙的性能更好。但最终考虑到我需要做剪辑，加上酷睿版的网卡更好，后面果断开箱，就确认了酷睿版。

看了一下系统信息和配置，网卡是ax211，比锐龙版的稳定很多，lc的显示屏，海力士的内存，三星的硬盘，最后双烤了一下，温度都很正常，60~70左右。

机身全金属，质感也超好，虽然有一丢丢重，但无关大雅，键盘的背光度也很好，触碰很灵敏。

只能说是很满意了，第一次选择惠普，社会主义普诚不欺我，已安全下车。????我的老联想机器，终于可以光荣退休啦。",2023-06-12 08:38:23,3,2,5,2023-06-16 17:37:04,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19223177187,"看了一个多月的电脑，其他电脑要么配置高，但是屏幕不好，这款还不错，去年女朋友入手星14pro，感受了哈觉得惠普还不错。这次入手战99。
外形外观：外观金属的很有质感
散热性能：散热还行，风力十足
屏幕效果：屏幕很舒服看起很爽
运行速度：32gddr5的内存杠杠的。
电脑在线的工程师也很给力，娱乐大师1200多万还行吧",2023-06-12 08:19:31,1,1,5,2023-06-14 08:11:16,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19192292971,终于买到心仪的笔记本了，战99果然名不虚传，质量杠杠好，金属外壳非常结实，人脸识别特别快，良心本，高品质，运行处理速度很快，带有office，又是独显，办公娱乐两不误。非常的哇塞！,2023-06-05 13:44:45,1,2,5,2023-06-06 13:48:14,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19229648736,高考完第一次买笔记本电脑，这款的使用体验还不错，首先屏幕它边框比我上一代窄了很多，我感觉很舒服，其次就是它拳金属机身质感还是在线的，赠送了office全家桶，并且有指纹识别，摄像头防窥，总体来说，这款用来办公还是非常不错，推荐大家购买了,2023-06-12 12:36:44,1,1,5,2023-06-15 20:07:24,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19222826216,惠普战99是一款非常优秀的笔记本电脑，它可以轻松应对各种大型游戏和应用程序，同时外观设计、键盘背光以及音效都非常出色。对于需要高配置进行游戏、编辑视频和其他高性能应用的用户来说，也适合用来编程，商务也很完美，这是一款非常值得购买的笔记本电脑。,2023-06-12 12:28:05,1,0,5,2023-06-14 00:08:47,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19169567678,自从上一次用了惠普后，就很喜欢惠普的电脑。外观超级漂亮，很大气，新系统看起来也很舒服，只是还不太习惯，需要熟悉一下，其他的用一段时间再回评,2023-05-23 20:01:55,1,0,5,2023-06-01 12:56:50,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19180228316,上午下的单今天下午就收到了，京东快递就是这么给力。外观挺符合我的要求，运行速度也很好，手感不错。看起来不错，清晰高端大气，办公很好用。,2023-06-03 06:11:01,1,1,5,2023-06-03 18:57:34,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19221972927,首发当日购买的惠普战99新款笔记本电脑，不愧是一线大品牌，配置高、颜值好、扩展能力超强，价格实惠，使用满意，值得推荐，对京东服务同样满意！,2023-06-12 08:28:51,1,0,5,2023-06-13 19:55:04,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19225509722,"宝贝收到了，质量很不错，包装精致，材质优秀，比想象中好，送礼自用非常合适，下次继续购买
实用性和颜值都非常的赞，我很喜欢，还会再来买的
好产品、好品质、好服务，宝贝确实值这个价钱，在这给商家点个赞?",2023-06-13 21:44:55,2,0,5,2023-06-14 18:35:30,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19173148595,网上看了各种测评以后才根据自己的需求入的，刚收到笔记本，产品的质感很好，三面都是金属材质看起来也很高级，开机以后惠管家会有提示磁盘分区常用软件下载等服务，比较的贴心，第一感觉很不错，同价位的本比较，性价比还是不错，刚拿到机器细节的体验后续使用才会有更加深入的体验,2023-05-31 20:25:43,1,0,5,2023-06-02 10:00:16,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19222442284,准大学生用，非常不错的产品，颜值高性能好，操作都很流畅，物流也特别快，作为人生中第一台电脑真的非常满意,2023-06-12 14:06:34,2,1,5,2023-06-13 21:54:38,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19217868576,"运行速度：相当快
屏幕效果：细腻
散热性能：蛮智能的，最大声也能忍
外形外观：三面铝，看上去让人放心，金属感十足
轻薄程度：适中，比我那老戴尔轻巧多了
其他特色：屏幕够长的
散热能力：底部散热，表面不热
运行速度：相当快",2023-06-12 09:55:09,1,0,5,2023-06-12 19:21:43,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19201031493,"惠普一直是我青睐的品牌，尤其是这次这款，还可以键盘防喷洒，而且有人脸和指纹识别，超级喜欢！

外观也很飒！",2023-06-07 21:51:29,1,0,5,2023-06-08 15:26:40,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19204055617,"外观：整体外观不错，唯一不能接受的是底盖安装配合不好，比较难看。
性能：完全没毛病，用工业软件非常流畅；
屏幕：非常清晰；
机身：质量刚刚好，还是很轻薄的；
散热：散热孔是在屏幕铰链后面的，一般还真的注意不到。
包装：包装比较简陋，只有胶带没有封条，幸亏检查下来是新机，否则我都认为是二手机了；",2023-06-07 20:16:03,2,2,4,2023-06-09 11:22:35,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19229823161,"很适合办公、学习使用的笔记本电脑。操作性能优良，运行流畅，没有噪音，2kg的机身个人感觉很轻便。
美中不足的是散热不孚众望，不过也无伤大雅",2023-06-12 20:55:58,1,0,5,2023-06-15 20:45:11,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19230427859,拿到后就迫不及待的打开，外观真的长在我的审美点上了，毕竟是工作站，还是有点分量，不过都不是问题，性价比还行，毕竟这配置这外观，还有薯条标，不错不错，具体使用感受用一段时间再来评价??,2023-06-12 23:53:13,1,0,5,2023-06-15 23:02:57,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19189311109,"运行速度：快，要的就是这种感觉。

屏幕效果：通透，虽然是1080p屏幕，但清晰度不错。只是亮度一般。
散热性能：还没有跑程序和软件，暂时看不出来，不过目前待机办公很安静。
外形外观：外观还行，做工精细，不愧是一线品牌。
轻薄程度：高性能轻薄本，兼顾性能和轻薄，厚度有点厚，这个价格相比买游戏本，是要轻薄些。

其他特色：键盘手感好，反馈清晰，还带背光。",2023-06-03 16:50:16,2,0,5,2023-06-05 18:56:01,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19214728806,"买电子产品还是应该找京东自营，发货快，隔日即可收到货！战99硬件配置不错，只是win11系统为家庭版而非专业版。固态硬盘为1T，另行添加了一块2T的三星990 PRO。
笔记本外接了一个31寸4K屏，运行绘图软件流畅，图形刷新速度不错。
整机散热效果很好！
工作站用win11家庭学习版，有点难以理解。",2023-06-10 07:07:18,1,1,5,2023-06-11 23:24:57,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19218679346,比较了多款电脑才下的单，这个配置已经逆天了，平台上性价比最高的一款，除了重量重了一点，其他都非常满意。对于制图的我们非常的实用，,2023-06-12 08:42:50,4,1,5,2023-06-12 22:36:39,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19217236027,儿子本科用的暗影5，今年研0 想着买个轻薄本比较正式，在华硕无畏16PRO 和thinkbook16+之间选择了战99 32G 4050一步到位 多开虚拟机没问题 闲暇玩游戏怡情，今天首发买到了战99。很不错,2023-06-12 08:09:48,0,1,5,2023-06-12 16:45:44,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19216107850,"运行速度：快
散热性能：好
包装挺严实的，完好无损，外观很好看，看上去挺高贵时尚，整体电脑很不错，开机速度很快，试下网游游戏，速度很快，不会很卡，很满意的一次购物",2023-06-11 22:42:06,0,0,5,2023-06-12 11:59:42,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19223605785,很满意，外观非常漂亮，轻奢低调商务风，轻薄便携，携带方便，续航长，适合长时间使用。电脑的性能也比较出色，能够运行各种应用程序，可以很好地满足我的工作和学习需求。另外，笔记本电脑的屏幕显示效果非常清晰，视觉效果非常好，使用起来非常舒适。总之，这款笔记本电脑是我很满意的产品，性价比高、质量好、使用便捷。,2023-06-12 08:27:04,0,0,5,2023-06-14 10:19:31,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19140401362,心仪已久的战99，特意用一周后发一下感受，非常适合制造业设计者移动工作的需求。屏幕够清淅，满足设计的同时也可满足出差作方案汇报。移动工作站的一款优秀产品。小遗憾高的配置价钱高。拿它接小单做外单挺合适的。较欣赏此款金属外壳，并具指纹及刷脸的安全功能。扩展大内存也是选择的大因素，新系统对工业软件还是挺好的，暂时还没有碰到不兼容的。,2023-05-15 00:32:45,0,0,5,2023-05-23 23:13:11,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19185553129,"很好，刚收到货就上手了
散热性能：很好
屏幕效果：很清晰
运行速度：??
外形外观：是我喜欢的.颜色大气",2023-06-03 14:56:48,0,1,5,2023-06-04 21:29:09,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19220388940,"在斟酌再三，和其他产品进行了多次对比之后，最终选择了惠普战99这款产品。因为是买给大学生的，所以性能均衡最重要，性价比也是需要考虑的一点。
这款机器搭载了英特尔最新酷睿i系列13500处理器，英伟达4050独立显卡，32G内存，1T固态硬盘。不论是大学生最基本的写论文，写作业，还是用Adobe全家桶，另外偶尔打打游戏，都是绰绰有余。
最关键的是在首发价格下，能买到这种配置的电脑，实在是再合适不过，感谢惠普给我们提供这么好的商品。
外观也是简约时尚的风格，不论是女生还是男生都可以使用。包装很结实，运输过程中没有任何磕碰。",2023-06-12 08:09:37,0,0,5,2023-06-13 12:57:42,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19230936717,呜呜不太懂电脑 不知道选哪款比较好  店员一直细心的帮我讲解 建议 区分  什么集显和独显 对于我的需求来说哪款更合适 会在我合理的预算内帮我建议?货也很快一天就到了~  拿到好喜欢哦 还有惠普小助手可以帮你讲解~ 那个垫纸也很贴心嘞 喜欢这样的银色简约~ 而且它接口很丰富！一打开就有可爱的?薯条标~~喜欢   它说 &ldquo;海内存知己 天涯若比邻&rdquo;? 而且感觉它散热性能很好诶！这属于全能本了 性能好价格相对不高 性价比很高哦~~而且惠普家售后很好滴 一年上门维修五年质保诶??！,2023-06-12 21:57:20,0,0,5,2023-06-16 07:35:22,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19233881781,电脑很棒 很精致 性能释放差不多65w cpu在60到80度 烤鸡99度 gpu温度很稳定，在50多度左右 烤机大概75度   除了散热感觉有点弱 其他方面都很满意,2023-06-12 08:32:14,0,0,5,2023-06-16 20:00:02,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19229148086,给高考完的弟弟买的，专业还没定下来，弟弟也不爱打游戏，所以没买游戏本。选择战99是看中了各方面的配置，非常适合专业学习和办公，储存空间大，接口多，续航能力和重量也适合便携，适合卷王。,2023-06-12 23:49:48,0,0,5,2023-06-15 17:51:58,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19226590531,"做工也非常的精细～是我喜欢那那种款式～ 很好看～
运行速度：起飞了
屏幕效果：2.5k细腻
散热性能：2风扇
轻薄程度：略厚
外形外观：颜值高
散热能力：可以的
运行速度：13代飞飞飞飞飞飞飞",2023-06-12 12:54:26,0,0,5,2023-06-14 23:39:55,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19230552586,送孩子的毕业礼物，真心不错，13代i5-13500H很强劲，配置上32G+1T，配上独显RTX4050非常强大了，而价格却远低同类。外观简洁，键盘布局合理，还有数字布局。,2023-06-14 20:03:18,0,0,5,2023-06-15 23:43:41,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19215163125,"运行速度：Sw运行很快，毫无压力
屏幕效果：屏幕素质没发现特别&hellip;&hellip;
散热性能：目前正常，未发现异常
外形外观：工作站该有的样子，",2023-06-09 07:52:33,0,0,5,2023-06-12 07:54:10,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19169458124,这个电脑听说挺好用的，京东物流很快，昨天下单，今天一大早就送来了。现在还没有激活，等到下午把它激活，看下里面详细怎么样，从外观包装看起来挺高大上的，值得拥有。下午准备安装软件，开机看一下。,2023-05-24 10:07:26,0,0,5,2023-06-01 12:26:27,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19220981210,"外形外观：一直是hp的忠实粉丝，非常喜欢这款金属质感的本本
散热性能：两个风扇散热，效果非常好
屏幕效果：显示清晰细腻，比上一代分辨率高，还带120高刷
运行速度：非常快，CPU，内存规格都有大幅度升级，13代CPU确实出众
轻薄程度：一般，但本人喜欢这种质感，比较全金属的三个面，工作站级别的设计本，日常携带没有任何压力
其他特色：颜值高，配置高，价格合适，这一代产品各方面都进步不少",2023-06-12 12:10:36,0,1,5,2023-06-13 15:37:44,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19171825725,本子外观比较硬朗，简洁大方，屏幕可以单手开合，这 个设计得不错，指纹识别很赞，识别很迅速 ，发热感觉控制的不错，正常使用风扇声音很小，屏幕分辨率也很清晰，超赞。,2023-05-31 20:50:30,0,1,5,2023-06-01 21:44:11,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19173637549,外观大气，金属机身，独立显卡运行速度非常流畅，对比了很多款，最后买了这款，主要用来日常办公和三维设计，风扇静音，最主要超薄，重量还很轻，出差携带很方便,2023-05-31 19:15:48,0,0,5,2023-06-02 11:39:24,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19176587239,"外形外观：相当惊艳，非常精致，特别漂亮。
轻薄程度：大小合适，分量感很足。
运行速度：运行非常流畅，很丝滑。
散热能力：散热效果很好，没什么噪音。
屏幕效果：屏幕效果很好。
其他特色：整体很好。",2023-05-29 21:13:35,0,0,5,2023-06-02 22:28:55,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19222911066,做工精细，键盘回弹有力，个人特别喜欢的一个手感，首发买的机器，用来打代码和业余剪个视频啥的，非常够用，薯条logo很高大上，其他的等用一段时间，再评论。,2023-06-12 08:11:33,0,0,5,2023-06-14 01:37:52,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19212491834,第一次买工作站选择了惠普，对比了几家还是这款性价比超级高，配置相当不错，比较满意。超出预期，质量很好，做工精细，满意,2023-06-10 15:00:42,0,0,5,2023-06-11 13:54:39,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19227977095,宝贝收到，物流很快，描述相符，比较满意，好评，推荐非常满意?，材质做工非常好，而且百搭，手感也很棒，非常nice，实用性非常强，赞?,2023-06-13 22:28:00,0,0,5,2023-06-15 12:38:45,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
