用户ID,评论内容,购买时间,点赞数,回复数,评分,评价时间,产品型号

19249697880,漏光很严重，不知道要不要留下，先给个好评,2023-06-18 19:19:16,0,2,1,2023-06-19 20:48:29,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19246489215,开始还以为送电脑包和鼠标，收到就一个电脑?充电器，具体电脑性能等用了在评论,2023-06-18 08:20:25,0,1,1,2023-06-19 10:43:22,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19246259745,什么都没有，本来以为有电脑包什么的，还618有活动。,2023-06-17 18:20:53,0,1,1,2023-06-19 10:03:27,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19244795574,自己看吧家人们，今天刚到的货，上午首次开机很慢当时就觉得不太行，然后网络连接很慢，东西刷新很慢，想着忍忍吧，然后关机。晚上回来，登录也进不去，网络连接了因特网断开，我们家网络很好两个网络，还有5g的，然后当时就登录也登不上了，客服让我重装系统，我试了，现在是登不上去了，更慢了，然后客服说这是正常的因为微软在国外不稳定，让我选别的时间登录，怎么回事吧我买个电脑还得看着时间登录，我服了真的,2023-06-17 11:55:18,0,2,1,2023-06-18 22:20:30,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19239679817,新机器，开不了机，客服就千篇一律重复，解决不了问题。,2023-06-16 15:14:34,0,3,1,2023-06-18 01:40:38,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19237780133,电脑有问题，无法运行,2023-06-16 09:25:27,0,1,1,2023-06-17 17:58:35,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19235497243,这么大的制造商，供应商。买了连鼠标有没有一个，很失望。,2023-06-16 09:55:16,0,1,1,2023-06-17 09:35:21,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19222340323,系统有问题，已经申请换货，郁闷，第一次在京东自营店买电脑,2023-06-11 10:30:10,0,2,1,2023-06-13 21:26:32,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19176621165,产品有瑕疵,2023-05-23 09:38:06,0,1,1,2023-06-02 22:38:43,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19174198034,此用户未及时填写评价内容,2023-02-23 22:44:26,0,1,1,2023-06-02 13:57:28,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19171314360,5.6下的单，5.9号到的货，5.31号直接降500，真有你的,2023-05-06 14:26:21,0,3,1,2023-06-01 19:58:16,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19169461604,一个月不到就降价800，定价太离谱。京东最差的一次购物。,2023-04-20 18:19:41,0,2,1,2023-06-01 12:27:20,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19161200796,垃圾玩意，差不多一个月掉价将近1000块,2023-04-12 19:06:19,0,1,1,2023-05-30 02:45:23,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19158057289,才买半个月多点就降了500，以后不来这买了,2023-05-01 07:52:19,4,1,1,2023-05-29 09:10:38,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19153836728,"千万别买！！！原因如下：
（1）没有溢价比，刚买没几天，降价500元，客服也不通知；
（2）性能差的一批，散热也不行；
（3）HP商家和京东踢皮球；
（4）对比不如国产其他品牌.",2023-05-10 09:27:01,3,2,1,2023-05-27 23:31:09,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19144641093,电脑用起来还不错。不过还是差评，520买的，买之前还问客服有没有什么活动，有无赠品，结果刚买就降价，还有赠品，就提前几天，啥也没有，问了也不给，不带这么忽悠消费者的,2023-05-20 16:35:17,2,1,1,2023-05-25 10:23:14,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19142726516,保价一过就跌500？你～妈妈知道吗？你当哥哥钱是大风刮来的？,2023-05-12 10:56:17,3,4,1,2023-05-24 17:53:14,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19131378953,此用户未及时填写评价内容,2023-02-08 17:59:33,1,2,1,2023-05-21 09:38:02,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19126352141,"到手感觉不大行
质感不好
移动工作站应该更硬实一些",2023-05-17 08:29:15,1,1,1,2023-05-19 14:43:30,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19059472465,非常差。摄像头用了两天就坏了。非常影响使用。这才过了五天，一共就开机用了几次。特别耽误时间精力来回交涉。,2023-04-21 08:57:20,0,2,1,2023-04-26 23:07:44,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19038629541,使用体验极差，问题很多,2023-04-17 14:40:26,0,1,1,2023-04-20 13:12:50,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19029597991,黑屏、售后服务不完善、有点怀疑质量问题,2023-04-12 11:40:51,1,1,1,2023-04-17 12:28:46,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19017877169,此用户未及时填写评价内容,2023-01-10 21:16:10,4,3,1,2023-04-13 10:46:12,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
19016143393,比官网贵几百,2023-03-22 00:58:16,1,1,1,2023-04-12 17:33:30,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18984782642,失望，看个视频，风扇声音时大时小。视频刷新度流畅度不够，和我十年前买的四五千的电脑没啥差别,2023-03-27 01:36:16,1,1,1,2023-04-04 02:31:37,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18971541955,用表格都卡顿，大家避雷吧，选其它的电脑吧，而且用的时候还能感觉到电流的声音,2023-03-05 23:48:47,1,1,1,2023-04-01 10:43:06,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18969522103,破机器 13000的机器买回来 ai一用就卡  这个真的是战机,2023-03-06 13:55:06,4,1,1,2023-03-31 16:57:28,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18951025957,"马上用了一个月了，过来评价一下。
运行速度：软件运行的多的话偶尔会有一点慢算不上卡

屏幕效果：不懂，不刺眼，看的时间长了依旧会累
散热性能：一般，算不上多好如果不是高强度使用噪音很小，打游戏的话满功率运行噪音很大，而且开机状态风扇不运行的情况下贴耳会有电流声
外形外观：不错
缺点！！！A面鼓包，手按的话会有三毫米左右的活动空间
                 键盘这面enter键和ASD键周围整体鼓包连带外壳部分都在鼓包感觉按键都要掉了给客服拍照那么明显都看不出来问售后说按键可以正常使用就这样用，要不到线下拆机检测，买了半个多月出现这种问题售后说超过一个月不可以退换，矛盾不矛盾
越说越来气，本来给两颗心现在一颗都不想给",2023-02-28 10:24:49,0,5,1,2023-03-27 22:53:34,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18950821325,繁琐 看着屏幕头晕,2023-02-08 16:49:35,0,1,1,2023-03-27 21:43:35,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18945064407,此用户未及时填写评价内容,2022-09-29 16:01:07,3,2,1,2023-03-26 20:26:22,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18944309153,客服态度很差,2023-03-03 20:24:18,0,1,1,2023-03-26 17:22:53,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
18944291499,买回来用着用着就要重启电脑更新系统 现在无法启动了 蓝屏 客服解决不了 找技术员要我去找第三方,2023-03-24 10:24:39,2,5,1,2023-03-26 17:22:47,惠普(HP)战99 全新12代15.6英寸高性能笔记本设计师创作本工作站（i7-12700H 32G 512G T600 4G独显 高色域）
