用户ID,评论内容,购买时间,点赞数,回复数,评分,评价时间,产品型号

19247833134,一 开箱封签下无logo 二 硬盘以通电56次 除我开机两次 已经通电54次 要这么多次检测吗？ 什么情况,2023-06-18 23:02:35,0,1,2,2023-06-19 15:04:22,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19202398373,"散热性能：发热的厉害
运行速度：还行",2023-06-03 23:21:19,0,1,3,2023-06-08 21:04:36,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19147282834,产品屏幕变形严重！中间两边低，相差5mm，商家不予更换！180天只换不修没起到作用！,2023-04-10 16:16:38,0,1,3,2023-05-25 23:33:41,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19028884784,"中奖了，京东最不愉快的一次购物！大家评论
4月8号下的单，9号上午到货，打开看下，外观没问题，激活后桌面异常，一系列操作后还是没能解决，咨询客服，转售后客服，卸载显卡驱动，重装驱动，还是没解决，售后建议返厂，还是不死心，去我们学校当地服务站，维修人员确认机器有问题，然后申请换货，打过若干京东电话，要求当天发一台新的过来，全被打回，说是要返厂检测后才能重新发货，漫长等待，周四终于到货了，充电器没塑料膜包装（之前那一台是有的），电脑使用一切正常，今天微信扫了下机器的二维码，显示保修到2023年11月12日，难道笔记本保修7个月，咨询京东说是以发票为准，保修一年，后续追加评论",2023-04-12 17:29:28,0,1,2,2023-04-17 08:36:08,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
18950358194,如果需要加装升级硬件的还是不要在京东买了，纯粹是给自己找麻烦，厂商官网支持定制，京东不支持，同样的商品，同样的价格，服务是不一样的,2023-03-22 08:53:14,1,1,3,2023-03-27 19:19:36,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
18941566955,触控板不灵，价格还这么贵,2023-03-20 10:33:21,0,1,2,2023-03-25 20:28:03,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
18932363615,有点后悔我买的p15v 我是做室内设计的 就冲着一句话，这是专业图形工作站，本来想用d5渲染器 结果下了之后才发现显卡带不起来 非常后悔 看了很多评价之后我也感觉这个机子价格有点虚高 哎 后悔后悔 冲动冲动,2023-03-21 12:38:08,1,1,2,2023-03-23 10:25:13,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
18826871470,设计师就是个**，几乎所有的接口全部在右边，包括HDMI、两个USB、音频，左边仅有一个Type-C接口，你不知道鼠标在右边吗？这样设计方便吗？,2023-02-24 15:40:50,1,1,2,2023-02-25 18:30:03,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
18766813812,感觉没有拯救者系列性价比高，不知道ThinkPad系列为啥价格这么高，后悔了应该买 Y9000,2023-01-29 12:41:21,1,1,3,2023-02-09 16:59:17,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
