用户ID,评论内容,购买时间,点赞数,回复数,评分,评价时间,产品型号

19255382419,此用户未填写评价内容,2023-06-18 20:39:42,0,0,5,2023-06-20 23:53:25,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19247833134,一 开箱封签下无logo 二 硬盘以通电56次 除我开机两次 已经通电54次 要这么多次检测吗？ 什么情况,2023-06-18 23:02:35,0,1,2,2023-06-19 15:04:22,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19242303559,此用户未填写评价内容,2023-06-13 08:10:57,1,0,5,2023-06-18 15:21:29,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19238619849,电脑是买来做设计的，买回来之后就安装了CAD2023，一点都不卡，非常适合从事设计行业的朋友,2023-06-13 17:58:11,0,0,5,2023-06-17 20:57:27,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19238327294,刚开机，现在什么都没装，感觉还不错，用鲁大师跑了一下。手感啥的，还都不错，依然是保持ThinkPad的特色，目前还是比较满意，不知道以后散热怎么样,2023-06-17 08:00:16,0,0,5,2023-06-17 19:58:56,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19237200103,物流很快，快递小哥服务贴心！暂未发现瑕疵，等使用后再评。,2023-06-15 20:49:32,0,0,5,2023-06-17 15:56:05,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19237072281,很好，是正品,2023-06-16 19:10:58,0,0,5,2023-06-17 15:27:35,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19236262825,很快就收到了，迫不及待的打开笔记本，电脑没有一点声音。屏幕颜色很好，win11的系统，正常使用没有一点声音。,2023-06-16 13:50:30,0,0,5,2023-06-17 12:15:12,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19235378580,物流很快，迫不及待开箱，感觉了一下键盘手感不错，使用后再说,2023-06-16 16:35:53,1,0,5,2023-06-17 09:07:08,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19234650630,很不错，性能强劲！,2023-05-04 14:14:32,0,0,5,2023-06-16 23:03:38,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19233655418,开机速度运行速度给力，散热性能好，图形表现强大,2023-06-15 22:03:29,0,0,5,2023-06-16 19:07:53,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19233249087,开机速度快，画面清楚，散热好,2023-06-11 13:34:28,1,0,5,2023-06-16 17:27:21,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19232455026,第二天就收到了，速度真快！但是赠品不会是没有吧，问客服都是机器人回答,2023-06-14 16:41:41,0,0,5,2023-06-16 14:13:58,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19231504327,收到了，还没用，之后再来追评。,2023-06-15 20:01:15,0,0,5,2023-06-16 10:23:22,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19231287012,"本子性能不错
散热能力：再提升点
运行速度：开机开软件速度还是挺快的",2023-06-07 08:25:04,0,0,5,2023-06-16 09:32:25,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19230664643,物流大概三天，东西很不错，家人很喜欢。安装时候记得断网,2023-04-27 18:32:36,0,0,5,2023-06-16 00:44:03,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19230545826,用了20多年thinkpad了，质量杠杆的，喜欢键盘的设计。完美,2023-06-13 15:33:29,0,0,5,2023-06-15 23:44:07,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19229625289,整体比较满意，屏幕效果很nice，安装更新时声音比较大比较发热，正常使用时还好！手感不错，后续使用后再来分享体验！,2023-06-12 19:03:23,0,0,5,2023-06-15 20:00:13,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19228670219,虽然是塑料材质，但是手感还是不错的！还没用，性能前后再评价！,2023-06-14 20:43:07,0,0,5,2023-06-15 15:52:39,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19228357358,速度快！自己立马入手！,2023-06-14 11:51:19,1,0,5,2023-06-15 14:29:32,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19227684084,第二台了，因为第一台同事说用得不错，所以下手第二台，接下来会有第三台第四台&hellip;&hellip;,2023-06-14 10:08:26,0,0,5,2023-06-15 11:23:19,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19227351906,发货速度迅速，包装好，运营速度快，散热效果好，外形简洁大方,2023-06-06 15:10:36,0,0,5,2023-06-15 10:07:48,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19226505044,这个电脑在购物车很久了，价格一直很稳定，虽然是2021年出的型号，但是放到现在性能还是很强的，简单办公足够用了！黑色经典简洁，就是散热声音有点大哈哈哈,2023-04-13 10:50:15,0,0,5,2023-06-14 23:03:38,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19226374248,给老婆大人买的 总体还不错 键盘手感比自己用的E14好,2023-06-07 08:38:48,0,0,5,2023-06-14 22:22:55,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19225619778,此用户未填写评价内容,2023-06-13 16:49:53,0,0,5,2023-06-14 19:03:12,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19225515547,"运行速度：很稳定
散热性能：散热还可以
其他特色：同时打开CAD，SU等多个软件运行非常稳定；唯一不足的是配置的摄像头像素一般。",2023-05-31 20:00:50,0,0,5,2023-06-14 18:37:12,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19225377951,前天下单，昨天到了，人在国外，还没有开箱，相信会不错的。,2023-06-13 20:48:58,0,0,5,2023-06-14 17:59:48,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19224236468,京东mall线下选购，方便快捷，耐心讲解，笔记本质量不错，性能超高，画图速度快，流畅,2023-06-13 14:53:47,0,0,5,2023-06-14 12:56:05,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19223927138,运行速度快，开机只需要19秒。,2023-06-12 16:18:05,0,0,5,2023-06-14 11:36:19,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19223686759,一直使用很顺手,2023-06-13 19:59:48,0,0,5,2023-06-14 10:38:49,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19223523065,送货非常快，，包装完整，期待后期使用效果,2023-06-13 15:49:27,0,0,5,2023-06-14 10:01:19,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19223150082,质量好，价格优！下次还来购买！,2023-06-01 09:51:44,0,0,5,2023-06-14 07:56:09,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19222019069,"?是正品，跟商店里买的是一样的，在这网购方便快捷，品质放心，还会光顾！.^?^.
运行速度：还不错的
屏幕效果：好
散热性能：还可以，偶尔噪声大
轻薄程度：一般，没那么薄
外形外观：经典外观

买来办公出差，绰绰有余，偶尔用用专业软件也是没有问题的",2023-04-14 21:30:34,0,0,5,2023-06-13 20:07:26,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19221950795,包装保护的很好，产品拆开后里面的保护也很到位，没有任何刮痕，就喜欢这么朴素的小黑盒。,2023-06-12 21:26:44,0,0,5,2023-06-13 19:50:04,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19221901161,东西收到了，很快，速度可以,2023-06-12 11:24:31,0,0,5,2023-06-13 19:35:44,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19221722264,"运行速度：很快
屏幕效果：很好
散热性能：很好
外形外观：不错",2023-06-12 20:24:51,0,0,5,2023-06-13 18:47:33,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
