用户ID,评论内容,购买时间,点赞数,回复数,评分,评价时间,产品型号

19214527857,迫不及待开箱，保护得很好，键盘用了一下感觉不错。续航感觉不到，一直带电工作，接口感觉还是少了，最好弄个扩展坞。用段时间再来评价。,2023-06-06 20:04:24,0,0,5,2023-06-11 22:19:47,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19220188446,这个电脑运行速度特别快，然后屏幕效果也亮的，很性能非常好，轻薄，稍微厚了一点，显示器稍微厚了一些，但是感觉手感很好，散热能力也强，特别是运行速度快非常不错，可以用好几年了。,2023-06-13 10:27:20,0,0,5,2023-06-13 12:05:15,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19212607686,下单第二天就到手了、长期使用电脑、太小的屏幕看起来累，实在是因为经常携带、不然直接17寸了。开机后速度很快、屏幕也很清。,2023-05-27 07:59:50,0,0,5,2023-06-11 14:28:04,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19205514304,系统运行特别快，散热方面也很好，因为经常用CAD和Tekla软件，电脑配置要求比较高，这款电脑完全满足需要，非常满意。,2023-05-27 16:12:15,0,0,5,2023-06-09 17:40:40,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19239236747,p15v保持了thinkpad系列经典的黑色，键盘也有小红点，屏幕可180度翻转，运营流畅，接口丰富，非常实用,2023-06-09 00:13:54,0,0,5,2023-06-17 22:51:05,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19236262825,很快就收到了，迫不及待的打开笔记本，电脑没有一点声音。屏幕颜色很好，win11的系统，正常使用没有一点声音。,2023-06-16 13:50:30,0,0,5,2023-06-17 12:15:12,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19136370634,超级喜欢?，刚到就迫不及待的拆开快递，开始使用了，客服态度也超级好哦，有不明白的地方讲解的都很详细,2023-05-20 07:44:52,0,0,5,2023-05-22 18:48:13,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19200138569,"已经种草半年多了，从看到的1万多，到时不时的9千左右的优惠价格，好几次动心，都忍住了，终于等到618活动价，又优惠了几百?，决定下手了。ThinkPad情结，没办法，虽然比同等配置的其他系列高的好多，但搞技术的总要有个ThinkPad?，准备用十年！不要让我失望?
运行速度：很快了，开机18秒左右，不算优秀，进去以后运行起来很快
屏幕效果：挺好，色彩比较丰富
散热性能：暂时还没装大型软件，只做文字处理的时候几乎没有声音
轻薄程度：这个不是优势，比较沉

其他特色：人脸识别用上了，反应还比较快，其他的再慢慢琢磨",2023-06-01 16:25:38,0,1,5,2023-06-08 11:36:20,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19219589942,"屏幕效果：看着还行
散热性能：还行
外形外观：一如既往的简单美观
运行速度：超快
轻薄程度：还行，就是有点重",2023-06-12 20:28:10,0,0,5,2023-06-13 09:46:49,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
