用户ID,评论内容,购买时间,点赞数,回复数,评分,评价时间,产品型号

17084020038,不好贴，反复弄2下就报废了,2022-01-28 10:00:06,2,2,1,2022-02-01 20:16:11,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
16886076408,货还未收到，无法评价,2021-12-26 18:46:52,1,1,1,2021-12-27 14:36:21,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
15140040047,有问题的机子，什么都不好,2020-12-04 19:38:58,14,7,1,2021-01-05 16:54:53,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
15256562950,很一般 屏幕分辨率低 模糊,2021-01-14 08:54:43,12,5,1,2021-01-27 14:55:48,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
16962504958,"才装好CAD重启死机,对得起这个价吗?",2022-01-07 11:16:30,4,5,1,2022-01-08 23:40:26,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
15793069578,8000块的东西就这品控,2021-06-07 23:09:38,6,5,1,2021-06-11 14:56:14,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
14817904558,"降价了
散热性能：不得好


其他特色：老是降价，又
没有价保。",2020-10-12 08:17:12,13,9,1,2020-10-30 22:02:49,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
17598199690,买了不到两个月前 答辩前两天电脑坏死？,2022-04-15 19:47:00,4,2,1,2022-06-07 18:14:11,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
15499923248,设计软件装不了，系统版本不行，要改企业版,2021-02-25 21:27:24,3,2,1,2021-04-05 07:04:57,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
15579064904,启动PS为什么就显示暂存空间不足，硬盘都成红色了？,2021-04-16 11:53:20,3,3,1,2021-04-19 21:34:06,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
15073473351,对不起这个价格，电脑有异味，作ps图也不行,2020-11-23 13:49:44,21,7,1,2020-12-20 18:41:49,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
15844343099,"买回来第一天这个小红点就快掉了！
注意细节呀！",2021-06-18 00:01:27,2,2,1,2021-06-21 11:29:05,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
18070761423,用了一个月空格键盘就这样了,2022-08-18 14:54:31,1,3,1,2022-09-16 16:32:37,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
19018409438,刚开始用就返厂检测了，耽误事,2023-03-22 09:57:36,0,1,1,2023-04-13 13:34:21,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
15484368437,专业人还是不要用了。,2021-03-15 21:08:12,12,4,1,2021-03-31 21:04:39,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
18376641334,用起来不好，质量差，像是二手的。,2022-11-03 21:16:08,0,1,1,2022-11-12 19:56:51,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
15585360134,开不了机，有问题服务差，没有人工服务，发信息一直人工智能回复找电脑工程师，,2021-04-06 16:23:30,4,1,1,2021-04-21 15:26:33,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
17826848325,不知道是二手的还是库存的，生产日期还是去年11月的,2022-07-22 14:43:54,1,1,1,2022-07-26 09:10:10,ThinkPad联想笔记本电脑ThinkPad P15v(09CD)英特尔酷睿i7 15.6英寸高性能工作站12代i7-12700H 16G 512G T600 高色域
